Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,29-09-2015,,,,,,,,
Gegevens beschikbaar:,23-09-1958,tot:,13-06-2006,,,,,,,,
Datum: ,29-09-2015,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B27D0001,001,27DP0001,190250,485640,2756,01-04-1958,23-09-1958,29-11-1993,2788,32,1466,1366
B27D0001,001,27DP0001,190250,485640,2756,01-04-1958,29-11-1993,14-06-2006,2794,38,1466,1366


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B27D0001,001,23-09-1958,785,753,2003,,,,,,
B27D0001,001,11-11-1958,797,765,1991,,,,,,
B27D0001,001,25-11-1958,795,763,1993,,,,,,
B27D0001,001,29-01-1959,800,768,1988,,,,,,
B27D0001,001,17-02-1959,790,758,1998,,,,,,
B27D0001,001,05-03-1959,815,783,1973,,,,,,
B27D0001,001,17-03-1959,817,785,1971,,,,,,
B27D0001,001,07-04-1959,813,781,1975,,,,,,
B27D0001,001,21-04-1959,818,786,1970,,,,,,
B27D0001,001,14-05-1959,820,788,1968,,,,,,
B27D0001,001,25-06-1959,824,792,1964,,,,,,
B27D0001,001,23-07-1959,825,793,1963,,,,,,
B27D0001,001,06-08-1959,830,798,1958,,,,,,
B27D0001,001,19-08-1959,831,799,1957,,,,,,
B27D0001,001,29-09-1959,840,808,1948,,,,,,
B27D0001,001,13-10-1959,840,808,1948,,,,,,
B27D0001,001,29-10-1959,844,812,1944,,,,,,
B27D0001,001,03-12-1959,850,818,1938,,,,,,
B27D0001,001,23-02-1960,874,842,1914,,,,,,
B27D0001,001,14-03-1960,873,841,1915,,,,,,
B27D0001,001,19-04-1960,880,848,1908,,,,,,
B27D0001,001,28-04-1960,875,843,1913,,,,,,
B27D0001,001,18-05-1960,878,846,1910,,,,,,
B27D0001,001,07-06-1960,885,853,1903,,,,,,
B27D0001,001,06-07-1960,885,853,1903,,,,,,
B27D0001,001,16-08-1960,894,862,1894,,,,,,
B27D0001,001,28-09-1960,890,858,1898,,,,,,
B27D0001,001,24-10-1960,880,848,1908,,,,,,
B27D0001,001,24-11-1960,868,836,1920,,,,,,
B27D0001,001,20-12-1960,825,793,1963,,,,,,
B27D0001,001,17-01-1961,812,780,1976,,,,,,
B27D0001,001,07-02-1961,806,774,1982,,,,,,
B27D0001,001,28-02-1961,795,763,1993,,,,,,
B27D0001,001,16-03-1961,790,758,1998,,,,,,
B27D0001,001,18-04-1961,785,753,2003,,,,,,
B27D0001,001,23-05-1961,785,753,2003,,,,,,
B27D0001,001,08-06-1961,789,757,1999,,,,,,
B27D0001,001,22-06-1961,785,753,2003,,,,,,
B27D0001,001,25-07-1961,792,760,1996,,,,,,
B27D0001,001,10-08-1961,795,763,1993,,,,,,
B27D0001,001,05-09-1961,800,768,1988,,,,,,
B27D0001,001,19-09-1961,800,768,1988,,,,,,
B27D0001,001,12-10-1961,800,768,1988,,,,,,
B27D0001,001,26-10-1961,796,764,1992,,,,,,
B27D0001,001,16-11-1961,793,761,1995,,,,,,
B27D0001,001,05-12-1961,787,755,2001,,,,,,
B27D0001,001,04-01-1962,760,728,2028,,,,,,
B27D0001,001,23-01-1962,749,717,2039,,,,,,
B27D0001,001,13-02-1962,740,708,2048,,,,,,
B27D0001,001,27-02-1962,740,708,2048,,,,,,
B27D0001,001,22-03-1962,730,698,2058,,,,,,
B27D0001,001,26-04-1962,734,702,2054,,,,,,
B27D0001,001,17-05-1962,727,695,2061,,,,,,
B27D0001,001,29-05-1962,727,695,2061,,,,,,
B27D0001,001,14-06-1962,727,695,2061,,,,,,
B27D0001,001,28-06-1962,725,693,2063,,,,,,
B27D0001,001,02-08-1962,731,699,2057,,,,,,
B27D0001,001,21-08-1962,736,704,2052,,,,,,
B27D0001,001,11-09-1962,740,708,2048,,,,,,
B27D0001,001,25-09-1962,745,713,2043,,,,,,
B27D0001,001,09-10-1962,748,716,2040,,,,,,
B27D0001,001,30-10-1962,750,718,2038,,,,,,
B27D0001,001,15-11-1962,755,723,2033,,,,,,
B27D0001,001,29-11-1962,760,728,2028,,,,,,
B27D0001,001,18-12-1962,762,730,2026,,,,,,
B27D0001,001,17-01-1963,770,738,2018,,,,,,
B27D0001,001,05-02-1963,773,741,2015,,,,,,
B27D0001,001,25-02-1963,780,748,2008,,,,,,
B27D0001,001,12-03-1963,780,748,2008,,,,,,
B27D0001,001,21-03-1963,785,753,2003,,,,,,
B27D0001,001,04-04-1963,783,751,2005,,,,,,
B27D0001,001,16-04-1963,780,748,2008,,,,,,
B27D0001,001,02-05-1963,780,748,2008,,,,,,
B27D0001,001,14-05-1963,781,749,2007,,,,,,
B27D0001,001,04-06-1963,782,750,2006,,,,,,
B27D0001,001,18-06-1963,784,752,2004,,,,,,
B27D0001,001,09-07-1963,785,753,2003,,,,,,
B27D0001,001,23-07-1963,790,758,1998,,,,,,
B27D0001,001,08-08-1963,790,758,1998,,,,,,
B27D0001,001,22-08-1963,790,758,1998,,,,,,
B27D0001,001,02-09-1963,793,761,1995,,,,,,
B27D0001,001,17-09-1963,795,763,1993,,,,,,
B27D0001,001,08-10-1963,794,762,1994,,,,,,
B27D0001,001,22-10-1963,800,768,1988,,,,,,
B27D0001,001,07-11-1963,793,761,1995,,,,,,
B27D0001,001,19-11-1963,795,763,1993,,,,,,
B27D0001,001,05-12-1963,792,760,1996,,,,,,
B27D0001,001,10-12-1963,790,758,1998,,,,,,
B27D0001,001,30-12-1963,785,753,2003,,,,,,
B27D0001,001,06-01-1964,786,754,2002,,,,,,
B27D0001,001,20-01-1964,785,753,2003,,,,,,
B27D0001,001,06-02-1964,793,761,1995,,,,,,
B27D0001,001,17-02-1964,790,758,1998,,,,,,
B27D0001,001,18-02-1964,792,760,1996,,,,,,
B27D0001,001,03-03-1964,796,764,1992,,,,,,
B27D0001,001,05-03-1964,799,767,1989,,,,,,
B27D0001,001,17-03-1964,799,767,1989,,,,,,
B27D0001,001,26-03-1964,800,768,1988,,,,,,
B27D0001,001,06-04-1964,803,771,1985,,,,,,
B27D0001,001,17-04-1964,801,769,1987,,,,,,
B27D0001,001,04-05-1964,805,773,1983,,,,,,
B27D0001,001,15-05-1964,808,776,1980,,,,,,
B27D0001,001,29-05-1964,807,775,1981,,,,,,
B27D0001,001,12-06-1964,809,777,1979,,,,,,
B27D0001,001,26-06-1964,810,778,1978,,,,,,
B27D0001,001,30-06-1964,813,781,1975,,,,,,
B27D0001,001,14-07-1964,812,780,1976,,,,,,
B27D0001,001,22-07-1964,816,784,1972,,,,,,
B27D0001,001,31-07-1964,815,783,1973,,,,,,
B27D0001,001,10-08-1964,818,786,1970,,,,,,
B27D0001,001,18-08-1964,815,783,1973,,,,,,
B27D0001,001,18-09-1964,825,793,1963,,,,,,
B27D0001,001,25-09-1964,824,792,1964,,,,,,
B27D0001,001,08-10-1964,828,796,1960,,,,,,
B27D0001,001,16-10-1964,827,795,1961,,,,,,
B27D0001,001,17-11-1964,837,805,1951,,,,,,
B27D0001,001,18-11-1964,835,803,1953,,,,,,
B27D0001,001,03-12-1964,839,807,1949,,,,,,
B27D0001,001,08-12-1964,840,808,1948,,,,,,
B27D0001,001,08-01-1965,840,808,1948,,,,,,
B27D0001,001,11-01-1965,845,813,1943,,,,,,
B27D0001,001,21-01-1965,838,806,1950,,,,,,
B27D0001,001,03-02-1965,832,800,1956,,,,,,
B27D0001,001,19-02-1965,825,793,1963,,,,,,
B27D0001,001,03-03-1965,818,786,1970,,,,,,
B27D0001,001,08-03-1965,821,789,1967,,,,,,
B27D0001,001,19-03-1965,820,788,1968,,,,,,
B27D0001,001,31-03-1965,820,788,1968,,,,,,
B27D0001,001,02-04-1965,820,788,1968,,,,,,
B27D0001,001,15-04-1965,821,789,1967,,,,,,
B27D0001,001,26-04-1965,821,789,1967,,,,,,
B27D0001,001,03-05-1965,820,788,1968,,,,,,
B27D0001,001,18-05-1965,820,788,1968,,,,,,
B27D0001,001,20-05-1965,815,783,1973,,,,,,
B27D0001,001,15-06-1965,802,770,1986,,,,,,
B27D0001,001,23-07-1965,801,769,1987,,,,,,
B27D0001,001,26-08-1965,795,763,1993,,,,,,
B27D0001,001,16-09-1965,793,761,1995,,,,,,
B27D0001,001,14-10-1965,792,760,1996,,,,,,
B27D0001,001,18-11-1965,796,764,1992,,,,,,
B27D0001,001,09-12-1965,799,767,1989,,,,,,
B27D0001,001,20-01-1966,744,712,2044,,,,,,
B27D0001,001,17-02-1966,736,704,2052,,,,,,
B27D0001,001,15-03-1966,725,693,2063,,,,,,
B27D0001,001,14-04-1966,720,688,2068,,,,,,
B27D0001,001,12-05-1966,709,677,2079,,,,,,
B27D0001,001,21-06-1966,706,674,2082,,,,,,
B27D0001,001,21-07-1966,711,679,2077,,,,,,
B27D0001,001,23-08-1966,705,673,2083,,,,,,
B27D0001,001,27-09-1966,713,681,2075,,,,,,
B27D0001,001,18-10-1966,714,682,2074,,,,,,
B27D0001,001,17-11-1966,720,688,2068,,,,,,
B27D0001,001,15-12-1966,713,681,2075,,,,,,
B27D0001,001,19-01-1967,672,640,2116,,,,,,
B27D0001,001,23-02-1967,666,634,2122,,,,,,
B27D0001,001,16-03-1967,672,640,2116,,,,,,
